,Flux
2_KETOGLUTARATE_xc_Open,0.0276164171813561
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Close,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Day,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Night,0.0
2_PERIOD_3_PERIOD_1_PERIOD_180_RXN_p_Open,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Close,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Day,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Night,0.0
2_PERIOD_4_PERIOD_1_PERIOD_111_RXN_c_Open,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Close,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Day,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Night,0.0
2_PERIOD_5_PERIOD_1_PERIOD_19_RXN_p_Open,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Day,-0.7199999999999727
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_1_PERIOD_90_RXN_c_Open,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_13_RXN_c_Open,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_34_RXN_c_Open,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Close,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Day,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Night,0.0
2_PERIOD_7_PERIOD_7_PERIOD_44_RXN_c_Open,0.0
3PGAREARR_RXN_c_Close,-0.10999352748085026
3PGAREARR_RXN_c_Day,0.0
3PGAREARR_RXN_c_Night,1.8905937125598142
3PGAREARR_RXN_c_Open,0.37499999999999944
3PGAREARR_RXN_p_Close,-0.001466841052535292
3PGAREARR_RXN_p_Day,0.0
3PGAREARR_RXN_p_Night,0.0
3PGAREARR_RXN_p_Open,0.0
3PGA_Pi_pc_Close,0.0
3PGA_Pi_pc_Day,0.0
3PGA_Pi_pc_Night,0.0
3PGA_Pi_pc_Open,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Close,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Day,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Night,0.0
3_DEHYDROQUINATE_DEHYDRATASE_RXN_p_Open,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Close,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Day,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Night,0.0
3_DEHYDROQUINATE_SYNTHASE_RXN_p_Open,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Close,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Day,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Night,0.0
3_ISOPROPYLMALDEHYDROG_RXN_p_Open,0.0
3_ISOPROPYLMALISOM_RXN_p_Close,0.0
3_ISOPROPYLMALISOM_RXN_p_Day,0.0
3_ISOPROPYLMALISOM_RXN_p_Night,0.0
3_ISOPROPYLMALISOM_RXN_p_Open,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_rev_vc_Open,0.0
4_AMINO_BUTYRATE_PROTON_vc_Close,0.0
4_AMINO_BUTYRATE_PROTON_vc_Day,0.0
4_AMINO_BUTYRATE_PROTON_vc_Night,0.0
4_AMINO_BUTYRATE_PROTON_vc_Open,0.0
4_AMINO_BUTYRATE_mc_Close,0.0
4_AMINO_BUTYRATE_mc_Day,0.0
4_AMINO_BUTYRATE_mc_Night,0.0
4_AMINO_BUTYRATE_mc_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_58_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_59_RXN_p_Open,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Close,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Day,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Night,0.0
4_PERIOD_2_PERIOD_1_PERIOD_61_RXN_p_Open,0.0
5_METHYL_THF_pc_Close,0.0
5_METHYL_THF_pc_Day,0.0
5_METHYL_THF_pc_Night,0.0
5_METHYL_THF_pc_Open,0.0
6PFRUCTPHOS_RXN_c_Close,0.0
6PFRUCTPHOS_RXN_c_Day,0.0
6PFRUCTPHOS_RXN_c_Night,0.2268712455071842
6PFRUCTPHOS_RXN_c_Open,0.0
6PFRUCTPHOS_RXN_p_Close,0.0
6PFRUCTPHOS_RXN_p_Day,0.0
6PFRUCTPHOS_RXN_p_Night,0.0
6PFRUCTPHOS_RXN_p_Open,0.017198760714975656
6PGLUCONDEHYDROG_RXN_c_Close,0.05499676374042514
6PGLUCONDEHYDROG_RXN_c_Day,0.0
6PGLUCONDEHYDROG_RXN_c_Night,2.5586034909976165
6PGLUCONDEHYDROG_RXN_c_Open,0.0
6PGLUCONDEHYDROG_RXN_p_Close,0.15926819760352065
6PGLUCONDEHYDROG_RXN_p_Day,0.0
6PGLUCONDEHYDROG_RXN_p_Night,1.7519501736387593
6PGLUCONDEHYDROG_RXN_p_Open,0.0
6PGLUCONOLACT_RXN_c_Close,0.05499676374042514
6PGLUCONOLACT_RXN_c_Day,0.0
6PGLUCONOLACT_RXN_c_Night,2.5586034909976165
6PGLUCONOLACT_RXN_c_Open,0.0
6PGLUCONOLACT_RXN_p_Close,0.15926819760352065
6PGLUCONOLACT_RXN_p_Day,0.0
6PGLUCONOLACT_RXN_p_Night,1.7519501736387593
6PGLUCONOLACT_RXN_p_Open,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Close,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Day,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Night,0.0
6_PERIOD_3_PERIOD_4_PERIOD_16_RXN_p_Open,0.0
ACETALD_mc_Close,0.0
ACETALD_mc_Day,0.0
ACETALD_mc_Night,0.0
ACETALD_mc_Open,0.0
ACETATE_COA_LIGASE_RXN_p_Close,0.0
ACETATE_COA_LIGASE_RXN_p_Day,0.0
ACETATE_COA_LIGASE_RXN_p_Night,0.0
ACETATE_COA_LIGASE_RXN_p_Open,0.0
ACETATE_COA_LIGASE_RXN_x_Close,0.0
ACETATE_COA_LIGASE_RXN_x_Day,0.0
ACETATE_COA_LIGASE_RXN_x_Night,0.0
ACETATE_COA_LIGASE_RXN_x_Open,0.0
ACETOLACTREDUCTOISOM_RXN_p_Close,0.0
ACETOLACTREDUCTOISOM_RXN_p_Day,0.0
ACETOLACTREDUCTOISOM_RXN_p_Night,0.0
ACETOLACTREDUCTOISOM_RXN_p_Open,0.0
ACETOLACTSYN_RXN_p_Close,0.0
ACETOLACTSYN_RXN_p_Day,0.0
ACETOLACTSYN_RXN_p_Night,0.0
ACETOLACTSYN_RXN_p_Open,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Close,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Day,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Night,0.0
ACETOOHBUTREDUCTOISOM_RXN_p_Open,0.0
ACETOOHBUTSYN_RXN_p_Close,0.0
ACETOOHBUTSYN_RXN_p_Day,0.0
ACETOOHBUTSYN_RXN_p_Night,0.0
ACETOOHBUTSYN_RXN_p_Open,0.0
ACETYLGLUTKIN_RXN_p_Close,0.0
ACETYLGLUTKIN_RXN_p_Day,0.0
ACETYLGLUTKIN_RXN_p_Night,0.0
ACETYLGLUTKIN_RXN_p_Open,0.0
ACETYLORNTRANSAM_RXN_p_Close,0.0
ACETYLORNTRANSAM_RXN_p_Day,0.0
ACETYLORNTRANSAM_RXN_p_Night,0.0
ACETYLORNTRANSAM_RXN_p_Open,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Close,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Day,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Night,0.0
ACETYL_COA_CARBOXYLTRANSFER_RXN_p_Open,0.0
ACET_mc_Close,0.0
ACET_mc_Day,0.0
ACET_mc_Night,0.0
ACET_mc_Open,0.0
ACET_pc_Close,0.0
ACET_pc_Day,0.0
ACET_pc_Night,0.0
ACET_pc_Open,0.0
ACET_xc_Close,0.0
ACET_xc_Day,0.0
ACET_xc_Night,0.0
ACET_xc_Open,0.0
ACONITATEDEHYDR_RXN_c_Close,0.2635396314666248
ACONITATEDEHYDR_RXN_c_Day,0.0
ACONITATEDEHYDR_RXN_c_Night,1.8905937125598111
ACONITATEDEHYDR_RXN_c_Open,0.0
ACONITATEDEHYDR_RXN_m_Close,0.0
ACONITATEDEHYDR_RXN_m_Day,0.0
ACONITATEDEHYDR_RXN_m_Night,0.0
ACONITATEDEHYDR_RXN_m_Open,0.0
ACONITATEHYDR_RXN_c_Close,0.0
ACONITATEHYDR_RXN_c_Day,0.0
ACONITATEHYDR_RXN_c_Night,0.0
ACONITATEHYDR_RXN_c_Open,0.0
ACONITATEHYDR_RXN_m_Close,0.2635396314666261
ACONITATEHYDR_RXN_m_Day,0.0
ACONITATEHYDR_RXN_m_Night,1.8905937125598111
ACONITATEHYDR_RXN_m_Open,0.0
ACSERLY_RXN_c_Close,0.0
ACSERLY_RXN_c_Day,0.0
ACSERLY_RXN_c_Night,0.0
ACSERLY_RXN_c_Open,0.0
ACSERLY_RXN_p_Close,0.0
ACSERLY_RXN_p_Day,0.0
ACSERLY_RXN_p_Night,0.0
ACSERLY_RXN_p_Open,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Close,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Day,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Night,0.0
ADENYLOSUCCINATE_SYNTHASE_RXN_p_Open,0.0
ADENYL_KIN_RXN_c_Close,0.0
ADENYL_KIN_RXN_c_Day,0.0
ADENYL_KIN_RXN_c_Night,0.0
ADENYL_KIN_RXN_c_Open,0.0
ADENYL_KIN_RXN_m_Close,0.0
ADENYL_KIN_RXN_m_Day,0.0
ADENYL_KIN_RXN_m_Night,0.0
ADENYL_KIN_RXN_m_Open,0.0
ADENYL_KIN_RXN_p_Close,0.0
ADENYL_KIN_RXN_p_Day,0.0
ADENYL_KIN_RXN_p_Night,0.0
ADENYL_KIN_RXN_p_Open,0.0
ADP_pc_Close,0.0
ADP_pc_Day,0.0
ADP_pc_Night,0.0
ADP_pc_Open,0.0
AICARTRANSFORM_RXN_p_Close,0.0
AICARTRANSFORM_RXN_p_Day,0.0
AICARTRANSFORM_RXN_p_Night,0.0
AICARTRANSFORM_RXN_p_Open,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Close,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Day,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Night,0.0
ALANINE_AMINOTRANSFERASE_RXN_c_Open,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Close,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Day,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Night,0.0
ALANINE_AMINOTRANSFERASE_RXN_m_Open,0.0
ALANINE_AMINOTRANSFERASE_RXN_x_Close,0.0
ALANINE_AMINOTRANSFERASE_RXN_x_Day,0.0
ALANINE_AMINOTRANSFERASE_RXN_x_Night,0.0
